S.NO.,PLAYER NAME,TEAM NAME,BASE VALUE,PLAYER VALUE,🔒 Row ID,CONTRACT 
1,LUKASZ FABIANSKI,AC MILAN ,80,80,eCGoHX8PSGmauuXVoVbrBw,SEASON 11
2,MATTIA PERIN,AC MILAN ,80,80,mTJoqtQETx6zBKq2XjBA.w,SEASON 11
3,FERNANDO MUSLERA,AL AHLI,100,50,V2OAmgVmTISTU-GwX6-Zig,SEASON 9.5
4,V. MILINKOVIC-SAVIC,AL NASSR,100,148,ukgSi5lkQzab.QrJNwE3lw,SEASON 10
5,OLIVER KAHN,ARSENAL FC,150,210,ukgSi5lkQzab.QrJNwE3lw,SEASON 11
6,GIANLUIGI DONNARUMMA,ARSENAL FC,120,110,ukgSi5lkQzab.QrJNwE3lw,SEASON 10.5
7,ALISSON BECKER,ARSENAL FC,120,122,iJCicKbITMWts4kOl-W7YQ,SEASON 11
8,VITOR BAIA,ATLETICO DE MADRID,150,100,9XX30kO0TBe8HAFCYH7e8g,SEASON 9.5
9,GERONIMO RULLI,ATLETICO DE MADRID,100,72,sd79NXuXRA2qnz9UFnI0-w,SEASON 10
10,PETER SCHMEICHEL,BORUSSIA DORTMUND,150,120,PHbnBW3uSl63maW0yVagFg,SEASON 10
11,ANDRE ONANA,BRIGHTON,80,60,TSo-2RXtRaGEUGdL8AxrJA,SEASON 10.5
12,KEPA,BRIGHTON,80,60,0n0-L0iUQCSBkQkJdJ5Vsw,SEASON 10
13,DOMINIK LIVAKOVIC,EVERTON ,100,100,jDnc8O2VSnCMRJTJqT5pQA,SEASON 11
14,MARCO CARNESECCHI,EVERTON ,100,100,1ByC5lX.RUuAn8Lv0W5yAA,SEASON 11
15,DIDA,EXCELSIOR,150,190,ukgSi5lkQzab.QrJNwE3lw,SEASON 10
16,JAN OBLAK,FC BARCELONA,120,104,dpMkkx.kTCuj4LV-DOYeWA,SEASON 10.5
17,MARC TER STEGEN,FC BARCELONA ,100,112,UMuyjeYxTvmWcvYt7sCOZA,SEASON 11
18,ANTHONY LOPES,FC BAYERN MUNICH ,80,82,cDzGWH0tQz2Go7zK6wGSaQ,SEASON 11
19,GIORGI MAMARDASHVILI,FC GOA ,100,100,rsgFmH3rRYeuiXCtGmTYcA,SEASON 11
20,YASSINE BOUNOU,FC GOA ,100,100,g-cwub2DRX6vZcjobAE49Q,SEASON 11
